"dataset","Database_ID","PermanentID","add_date","paper_id","title","year","authors","journal","doi","contact","sample_name","sample_type","manipulated","sample_description","latitude","longitude","continent","year_of_sampling"
1632,"its1",20600,"GF04001122S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX20","root",FALSE,"fine roots",17.3768,-96.21288,"North America"
1633,"its1",16761,"GF04001120S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX25","root",FALSE,"fine roots",19.29617,-97.00664,"North America"
1634,"its1",15583,"GF04001114S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX42","root",FALSE,"fine roots",8.39397,-82.12919,"North America"
1635,"its1",15254,"GF04001111S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX50","root",FALSE,"fine roots",8.40428,-82.13047,"North America"
1636,"its1",15104,"GF04001109S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX1","root",FALSE,"fine roots",17.38512,-96.22699,"North America"
1637,"its1",5404,"GF04001108S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX51","root",FALSE,"fine roots",8.45711,-82.15686,"North America"
1638,"its1",15072,"GF04001107S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX54","root",FALSE,"fine roots",8.45704,-82.15693,"North America"
1639,"its1",14574,"GF04001106S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX44","root",FALSE,"fine roots",8.39389,-82.1293,"North America"
1640,"its1",9430,"GF04001105S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX49","root",FALSE,"fine roots",8.40428,-82.13047,"North America"
1641,"its1",14068,"GF04001102S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX21","root",FALSE,"fine roots",17.37687,-96.21298,"North America"
1642,"its1",14912,"GF04001101S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX16","root",FALSE,"fine roots",17.36591,-96.23128,"North America"
1643,"its1",13646,"GF04001099S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX12","root",FALSE,"fine roots",17.36591,-96.23128,"North America"
1644,"its1",24678,"GF04001095S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX6","root",FALSE,"fine roots",17.38501,-96.22696,"North America"
1645,"its1",11387,"GF04001094S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX41","root",FALSE,"fine roots",8.39403,-82.12919,"North America"
1646,"its1",10330,"GF04001088S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX15","root",FALSE,"fine roots",17.36591,-96.23128,"North America"
1647,"its1",2429,"GF04001087S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX23","root",FALSE,"fine roots",19.29621,-97.0066,"North America"
1648,"its1",9731,"GF04001085S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX60","root",FALSE,"fine roots",8.45312,-82.14397,"North America"
1649,"its1",24318,"GF04001079S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX34","root",FALSE,"fine roots",19.29628,-97.00468,"North America"
1650,"its1",7904,"GF04001074S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX48","root",FALSE,"fine roots",8.40423,-82.1304,"North America"
1651,"its1",7747,"GF04001073S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX46","root",FALSE,"fine roots",8.40422,-82.13039,"North America"
1652,"its1",7716,"GF04001072S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX11","root",FALSE,"fine roots",17.36591,-96.23128,"North America"
1653,"its1",7599,"GF04001071S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX32","root",FALSE,"fine roots",19.29628,-97.00468,"North America"
1654,"its1",7581,"GF04001069S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX18","root",FALSE,"fine roots",17.37681,-96.21297,"North America"
1655,"its1",7336,"GF04001067S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX27","root",FALSE,"fine roots",19.29632,-97.00644,"North America"
1656,"its1",6950,"GF04001066S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX58","root",FALSE,"fine roots",8.45323,-82.14447,"North America"
1657,"its1",5956,"GF04001065S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX24","root",FALSE,"fine roots",19.29622,-97.00668,"North America"
1658,"its1",5832,"GF04001064S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX47","root",FALSE,"fine roots",8.4044,-82.13032,"North America"
1659,"its1",9697,"GF04001063S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX55","root",FALSE,"fine roots",8.4571,-82.15692,"North America"
1660,"its1",24417,"GF04001061S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX9","root",FALSE,"fine roots",17.36591,-96.23128,"North America"
1661,"its1",4620,"GF04001053S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX14","root",FALSE,"fine roots",17.36591,-96.23128,"North America"
1662,"its1",15380,"GF04001048S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX30","root",FALSE,"fine roots",19.2964,-97.0047,"North America"
1663,"its1",3272,"GF04001047S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX26","root",FALSE,"fine roots",19.29646,-97.00661,"North America"
1664,"its1",3865,"GF04001046S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX45","root",FALSE,"fine roots",8.39387,-82.12923,"North America"
1665,"its1",2920,"GF04001045S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX17","root",FALSE,"fine roots",17.34724,-96.30418,"North America"
1666,"its1",2546,"GF04001044S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX8","root",FALSE,"fine roots",17.36591,-96.23128,"North America"
1667,"its1",2172,"GF04001039S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX5","root",FALSE,"fine roots",17.38505,-96.22697,"North America"
1668,"its1",1737,"GF04001035S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX36","root",FALSE,"fine roots",19.29622,-97.00669,"North America"
1669,"its1",3098,"GF04001034S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX59","root",FALSE,"fine roots",8.45318,-82.14426,"North America"
1670,"its1",8251,"GF04001031S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX57","root",FALSE,"fine roots",8.4531,-82.14446,"North America"
1671,"its1",1241,"GF04001029S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX43","root",FALSE,"fine roots",8.39393,-82.12911,"North America"
1672,"its1",930,"GF04001027S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX39","root",FALSE,"fine roots",19.29597,-97.00664,"North America"
1673,"its1",601,"GF04001026S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX22","root",FALSE,"fine roots",19.29627,-97.00669,"North America"
1674,"its1",514,"GF04001025S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX40","root",FALSE,"fine roots",19.29597,-97.00664,"North America"
1675,"its1",162,"GF04001024S","21.07.2022","Corrales_2021_JD","Fungal communities associated with roots of two closely related Juglandaceae species with a disjunct distribution in the tropics.",2021,"Corrales, A., Xu, H., Garibay-Orijel, R., Alfonso-Corrado, C., Williams-Linera, G., Chu, C., Truong, C., Jusino, M. A., Clark-Tapia, R., Dalling, J. W., Liu, Y. and Smith, M. E.","Fungal Ecology","10.1016/j.funeco.2020.101023","adricorrales33@gmail.com, adriana.corrales@urosario.edu.co, adricorrales33@urosario.edu.co","OREMEX31","root",FALSE,"fine roots",19.29628,-97.00468,"North America"
1676,"its1",60487,"GF03009047S","26.04.2021","Vivanco_2018_9319","Plant, fungal, bacterial, and nitrogen interactions in the litter layer of a native Patagonian forest.",2018,"Vivanco, L., Rascovan, N. and Austin, A.T.","PeerJ","10.7717/peerj.4754","vivanco@agro.uba.ar","B.RA.ctrl.HT","litter",FALSE,"leaf litter",-40.133,-71.5,"South America"
1677,"its1",27482,"GF03009046S","26.04.2021","Vivanco_2018_9319","Plant, fungal, bacterial, and nitrogen interactions in the litter layer of a native Patagonian forest.",2018,"Vivanco, L., Rascovan, N. and Austin, A.T.","PeerJ","10.7717/peerj.4754","vivanco@agro.uba.ar","D.RORACO.ctrl.HT","litter",FALSE,"leaf litter",-40.133,-71.5,"South America"
1678,"its1",31845,"GF03009045S","26.04.2021","Vivanco_2018_9319","Plant, fungal, bacterial, and nitrogen interactions in the litter layer of a native Patagonian forest.",2018,"Vivanco, L., Rascovan, N. and Austin, A.T.","PeerJ","10.7717/peerj.4754","vivanco@agro.uba.ar","C.RO.ctrl.HT","litter",FALSE,"leaf litter",-40.133,-71.5,"South America"
1679,"its1",25268,"GF03009044S","26.04.2021","Vivanco_2018_9319","Plant, fungal, bacterial, and nitrogen interactions in the litter layer of a native Patagonian forest.",2018,"Vivanco, L., Rascovan, N. and Austin, A.T.","PeerJ","10.7717/peerj.4754","vivanco@agro.uba.ar","A.CO.ctrl.HT","litter",FALSE,"leaf litter",-40.133,-71.5,"South America"
1680,"its1",47075,"GF03008885S","26.04.2021","Veloso_2020_EB","Effects of environmental factors on microbiota of fruits and soil of Coffea arabica in Brazil.",2020,"Veloso, T.G.R., da Silva, M.D.C.S., Cardoso, W.S., Guarçoni, R.C., Kasuya, M.C.M. and Pereira, L.L.","Scientific Reports","10.1038/s41598-020-71309-y","catarinakasuya@gmail.com","LL13","soil",FALSE,"soil",-20.158914,-41.020625,"South America"
